Account_Id__c,Account_Name__c,Segment__c,Region__c,Plan_Tier__c,MRR__c,Health_Score__c,Risk_Band__c,Main_Risk_Driver__c,Recommended_Action__c,Customer_Success_Manager__c,Priority_Rank__c
acct_051,Ember Hospitality,Mid-Market,Europe,Pro,5461.0,76.6,Watch,Healthy usage and engagement,Continue regular success cadence,Samira Khan,37
acct_078,Orchard Dining Collective,SMB,Asia Pacific,Starter,1636.0,76.6,Watch,Healthy usage and engagement,Continue regular success cadence,Drew Martinez,38
acct_021,Juniper Kitchen,Mid-Market,Latin America,Pro,3931.0,76.7,Watch,Healthy usage and engagement,Continue regular success cadence,Avery Morgan,39
acct_068,Amber Dining Collective,SMB,North America,Starter,1166.0,76.7,Watch,Healthy usage and engagement,Continue regular success cadence,Casey Nguyen,40
acct_048,Bluebird Hospitality,SMB,North America,Starter,1126.0,76.7,Watch,Healthy usage and engagement,Continue regular success cadence,Jordan Ellis,41
acct_095,Ember Food Hall,Enterprise,Europe,Enterprise,18065.0,76.8,Watch,Healthy usage and engagement,Continue regular success cadence,Taylor Kim,42
acct_038,Canyon Bistro,SMB,Asia Pacific,Starter,1556.0,76.8,Watch,Healthy usage and engagement,Continue regular success cadence,Drew Martinez,43
acct_065,Juniper Cafe Group,Enterprise,Latin America,Enterprise,22355.0,76.9,Watch,Healthy usage and engagement,Continue regular success cadence,Morgan Lee,44
acct_035,Amber Bistro,Enterprise,Europe,Enterprise,16745.0,76.9,Watch,Healthy usage and engagement,Continue regular success cadence,Samira Khan,45
acct_025,Atlas Table,Enterprise,Latin America,Enterprise,21475.0,77.0,Watch,Healthy usage and engagement,Continue regular success cadence,Morgan Lee,46
acct_071,Canyon Dining Collective,Mid-Market,Europe,Pro,5581.0,77.0,Watch,Healthy usage and engagement,Continue regular success cadence,Taylor Kim,47
acct_009,Beacon Burger Co,Mid-Market,North America,Pro,4700.0,77.0,Watch,Healthy usage and engagement,Advance expansion opportunity,Jordan Ellis,48
acct_061,Clover Cafe Group,Mid-Market,Latin America,Pro,4171.0,77.1,Watch,Healthy usage and engagement,Continue regular success cadence,Avery Morgan,49
acct_041,Foundry Bistro,Mid-Market,Latin America,Pro,4051.0,77.1,Watch,Healthy usage and engagement,Continue regular success cadence,Morgan Lee,50
acct_098,Juniper Food Hall,SMB,Asia Pacific,Starter,1676.0,77.1,Watch,Healthy usage and engagement,Continue regular success cadence,Riley Patel,51
acct_031,Golden Table,Mid-Market,Europe,Pro,5341.0,77.2,Watch,Healthy usage and engagement,Continue regular success cadence,Taylor Kim,52
acct_058,Atlas Cafe Group,SMB,Asia Pacific,Starter,1596.0,77.2,Watch,Healthy usage and engagement,Continue regular success cadence,Riley Patel,53
acct_088,Maple Restaurant Co,SMB,North America,Starter,1206.0,77.2,Watch,Healthy usage and engagement,Continue regular success cadence,Jordan Ellis,54
acct_085,Foundry Restaurant Co,Enterprise,Latin America,Enterprise,22795.0,77.3,Watch,Healthy usage and engagement,Continue regular success cadence,Avery Morgan,55
acct_028,Clover Table,SMB,North America,Starter,1086.0,77.3,Watch,Healthy usage and engagement,Continue regular success cadence,Casey Nguyen,56
acct_055,Maple Hospitality,Enterprise,Europe,Enterprise,17185.0,77.4,Watch,Healthy usage and engagement,Continue regular success cadence,Taylor Kim,57
acct_091,Atlas Food Hall,Mid-Market,Europe,Pro,5701.0,77.4,Watch,Healthy usage and engagement,Continue regular success cadence,Samira Khan,58
acct_001,Northstar Bistro,Mid-Market,North America,Pro,4200.0,78.2,Watch,Healthy usage and engagement,Continue regular success cadence,Jordan Ellis,59
acct_011,Cedar Table Group,Enterprise,North America,Enterprise,16200.0,81.1,Healthy,CSM risk note,Advance expansion opportunity,Avery Morgan,60
acct_008,Prime Plate Hospitality,Enterprise,North America,Enterprise,18500.0,86.8,Healthy,Healthy usage and engagement,Advance expansion opportunity,Avery Morgan,61
acct_002,Harbor Sushi Group,Enterprise,North America,Enterprise,14200.0,86.8,Healthy,Healthy usage and engagement,Advance expansion opportunity,Avery Morgan,62
acct_090,Amber Food Hall,Enterprise,Asia Pacific,Enterprise,20430.0,87.9,Healthy,Healthy usage and engagement,Advance expansion opportunity,Riley Patel,63
acct_060,Canyon Cafe Group,Enterprise,North America,Enterprise,14820.0,88.0,Healthy,Healthy usage and engagement,Advance expansion opportunity,Casey Nguyen,64
acct_050,Clover Hospitality,Enterprise,Asia Pacific,Enterprise,19550.0,88.1,Healthy,Healthy usage and engagement,Advance expansion opportunity,Riley Patel,65
acct_030,Foundry Table,Enterprise,Asia Pacific,Enterprise,19110.0,88.1,Healthy,Healthy usage and engagement,Advance expansion opportunity,Drew Martinez,66
acct_020,Golden Kitchen,Enterprise,North America,Enterprise,13940.0,88.2,Healthy,Healthy usage and engagement,Advance expansion opportunity,Casey Nguyen,67
acct_070,Bluebird Dining Collective,Enterprise,Asia Pacific,Enterprise,19990.0,88.5,Healthy,Healthy usage and engagement,Advance expansion opportunity,Drew Martinez,68
acct_100,Orchard Food Hall,Enterprise,North America,Enterprise,15700.0,88.5,Healthy,Healthy usage and engagement,Advance expansion opportunity,Casey Nguyen,69
acct_080,Atlas Restaurant Co,Enterprise,North America,Enterprise,15260.0,88.5,Healthy,Healthy usage and engagement,Advance expansion opportunity,Jordan Ellis,70
acct_040,Ember Bistro,Enterprise,North America,Enterprise,14380.0,88.6,Healthy,Healthy usage and engagement,Advance expansion opportunity,Jordan Ellis,71
acct_007,Olive Branch Cafe,SMB,Europe,Starter,0.0,28.5,Critical,Low product adoption,Schedule CSM risk review and adoption plan,Riley Patel,72
acct_004,Copper Kettle BBQ,Mid-Market,North America,Pro,0.0,30.1,Critical,Low product adoption,Schedule CSM risk review and adoption plan,Jordan Ellis,73
