Account_Id__c,Account_Name__c,Restaurant_Type__c,Region__c,Segment__c,Plan_Tier__c,Status__c,Current_MRR__c,MRR__c,Avg_Active_Days__c,Orders_Processed__c,Support_Calls__c,Escalated_Calls__c,Failed_Payments__c,Open_Pipeline_Amount__c,Weighted_Pipeline_Amount__c,Health_Score__c,Risk_Band__c,Main_Risk_Driver__c,Recommended_Action__c,Customer_Success_Manager__c
acct_042,Golden Bistro,Casual Dining,Asia Pacific,Mid-Market,Pro,active,4462.0,4462.0,9.5,5889,0,0,0,0,0.0,58.4,At Risk,Low product adoption,Schedule CSM risk review and adoption plan,Riley Patel
acct_022,Maple Kitchen,Casual Dining,Asia Pacific,Mid-Market,Pro,active,4342.0,4342.0,10.5,6089,0,0,0,0,0.0,59.0,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Drew Martinez
acct_081,Bluebird Restaurant Co,Fine Dining,Latin America,Mid-Market,Pro,active,4291.0,4291.0,17.5,9383,0,0,0,0,0.0,76.5,Watch,Healthy usage and engagement,Continue regular success cadence,Morgan Lee
acct_001,Northstar Bistro,Fast Casual,North America,Mid-Market,Pro,active,4200.0,4200.0,23.0,8050,0,0,0,18000,9900.0,78.2,Watch,Healthy usage and engagement,Continue regular success cadence,Jordan Ellis
acct_061,Clover Cafe Group,Fine Dining,Latin America,Mid-Market,Pro,active,4171.0,4171.0,18.5,10183,0,0,0,0,0.0,77.1,Watch,Healthy usage and engagement,Continue regular success cadence,Avery Morgan
acct_087,Juniper Restaurant Co,Casual Dining,Europe,Mid-Market,Pro,active,4057.0,4057.0,24.5,13659,0,0,0,32500,22100.0,88.1,Healthy,Healthy usage and engagement,Advance expansion opportunity,Taylor Kim
acct_041,Foundry Bistro,Fine Dining,Latin America,Mid-Market,Pro,active,4051.0,4051.0,18.0,10203,0,0,0,0,0.0,77.1,Watch,Healthy usage and engagement,Continue regular success cadence,Morgan Lee
acct_067,Orchard Cafe Group,Casual Dining,Europe,Mid-Market,Pro,active,3937.0,3937.0,25.5,13859,0,0,0,31500,21420.0,88.7,Healthy,Healthy usage and engagement,Advance expansion opportunity,Samira Khan
acct_021,Juniper Kitchen,Fine Dining,Latin America,Mid-Market,Pro,active,3931.0,3931.0,17.5,9623,0,0,0,0,0.0,76.7,Watch,Healthy usage and engagement,Continue regular success cadence,Avery Morgan
acct_006,Metro Noodle House,Quick Service,Asia Pacific,Mid-Market,Pro,paused,3900.0,3900.0,6.0,900,0,0,1,0,0.0,35.9,Critical,Payment failure,Schedule CSM risk review and adoption plan,Taylor Kim
acct_047,Atlas Hospitality,Casual Dining,Europe,Mid-Market,Pro,active,3817.0,3817.0,25.0,13279,0,0,0,30500,20740.0,88.3,Healthy,Healthy usage and engagement,Advance expansion opportunity,Taylor Kim
acct_027,Canyon Table,Casual Dining,Europe,Mid-Market,Pro,active,3697.0,3697.0,24.5,13299,0,0,0,29500,20060.0,87.8,Healthy,Healthy usage and engagement,Advance expansion opportunity,Samira Khan
acct_086,Golden Restaurant Co,Fine Dining,Asia Pacific,Mid-Market,Pro,active,3646.0,3646.0,4.0,2893,0,0,1,0,0.0,32.2,Critical,Payment failure,Schedule CSM risk review and adoption plan,Drew Martinez
acct_012,Pacific Poke Labs,Fast Casual,Asia Pacific,Mid-Market,Pro,active,3600.0,3600.0,19.5,5750,0,0,0,15000,7200.0,73.7,Watch,Healthy usage and engagement,Continue regular success cadence,Taylor Kim
acct_066,Maple Cafe Group,Fine Dining,Asia Pacific,Mid-Market,Pro,active,3526.0,3526.0,3.5,2913,0,0,1,0,0.0,32.2,Critical,Payment failure,Schedule CSM risk review and adoption plan,Riley Patel
acct_092,Bluebird Food Hall,Casual Dining,North America,Mid-Market,Pro,active,3412.0,3412.0,10.0,5449,0,0,0,0,0.0,58.7,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Casey Nguyen
acct_046,Amber Hospitality,Fine Dining,Asia Pacific,Mid-Market,Pro,active,3406.0,3406.0,4.5,2513,0,0,1,0,0.0,32.8,Critical,Payment failure,Schedule CSM risk review and adoption plan,Drew Martinez
acct_059,Bluebird Cafe Group,Cafe,Europe,SMB,Starter,active,1733.0,1733.0,10.0,1851,0,0,0,0,0.0,59.0,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Samira Khan
acct_013,Amber Kitchen,Quick Service,Latin America,SMB,Starter,active,1731.0,1731.0,25.5,4100,0,0,0,8500,5780.0,88.6,Healthy,Healthy usage and engagement,Continue regular success cadence,Avery Morgan
acct_039,Clover Bistro,Cafe,Europe,SMB,Starter,active,1693.0,1693.0,9.5,2056,0,0,0,0,0.0,58.5,At Risk,Low product adoption,Schedule CSM risk review and adoption plan,Taylor Kim
acct_098,Juniper Food Hall,Quick Service,Asia Pacific,SMB,Starter,active,1676.0,1676.0,18.0,3585,0,0,0,8500,3570.0,77.1,Watch,Healthy usage and engagement,Continue regular success cadence,Riley Patel
acct_019,Foundry Kitchen,Cafe,Europe,SMB,Starter,active,1653.0,1653.0,10.5,2486,0,0,0,0,0.0,59.1,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Samira Khan
acct_078,Orchard Dining Collective,Quick Service,Asia Pacific,SMB,Starter,active,1636.0,1636.0,17.5,3190,0,0,0,8000,3360.0,76.6,Watch,Healthy usage and engagement,Continue regular success cadence,Drew Martinez
acct_058,Atlas Cafe Group,Quick Service,Asia Pacific,SMB,Starter,trial,1596.0,1596.0,18.5,3020,0,0,0,8000,3360.0,77.2,Watch,Healthy usage and engagement,Continue regular success cadence,Riley Patel
acct_084,Ember Restaurant Co,Cafe,North America,SMB,Starter,active,1558.0,1558.0,24.5,4276,0,0,0,8000,5440.0,88.2,Healthy,Healthy usage and engagement,Continue regular success cadence,Casey Nguyen
acct_038,Canyon Bistro,Quick Service,Asia Pacific,SMB,Starter,active,1556.0,1556.0,18.0,3225,0,0,0,8000,3360.0,76.8,Watch,Healthy usage and engagement,Continue regular success cadence,Drew Martinez
acct_064,Golden Cafe Group,Cafe,North America,SMB,Starter,active,1518.0,1518.0,25.5,4706,0,0,0,7500,5100.0,88.8,Healthy,Healthy usage and engagement,Continue regular success cadence,Jordan Ellis
acct_018,Ember Kitchen,Quick Service,Asia Pacific,SMB,Starter,active,1516.0,1516.0,17.5,3430,0,0,0,7500,3150.0,76.4,Watch,Healthy usage and engagement,Continue regular success cadence,Riley Patel
acct_044,Maple Bistro,Cafe,North America,SMB,Starter,active,1478.0,1478.0,25.0,4311,0,0,0,7500,5100.0,88.4,Healthy,Healthy usage and engagement,Continue regular success cadence,Casey Nguyen
acct_024,Amber Table,Cafe,North America,SMB,Starter,active,1438.0,1438.0,24.5,3916,0,0,0,7000,4760.0,88.0,Healthy,Healthy usage and engagement,Continue regular success cadence,Jordan Ellis
acct_083,Clover Restaurant Co,Quick Service,Europe,SMB,Starter,active,1421.0,1421.0,25.0,4245,0,0,0,7000,4760.0,88.3,Healthy,Healthy usage and engagement,Continue regular success cadence,Samira Khan
acct_063,Foundry Cafe Group,Quick Service,Europe,SMB,Starter,active,1381.0,1381.0,24.5,4450,0,0,0,7000,4760.0,87.9,Healthy,Healthy usage and engagement,Continue regular success cadence,Taylor Kim
acct_089,Orchard Restaurant Co,Cafe,Latin America,SMB,Starter,active,1343.0,1343.0,10.0,2031,0,0,0,0,0.0,58.9,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Morgan Lee
acct_043,Juniper Bistro,Quick Service,Europe,SMB,Starter,active,1341.0,1341.0,25.5,4880,0,0,0,6500,4420.0,88.5,Healthy,Healthy usage and engagement,Continue regular success cadence,Samira Khan
acct_069,Atlas Dining Collective,Cafe,Latin America,SMB,Starter,active,1303.0,1303.0,9.5,1636,0,0,0,0,0.0,58.5,At Risk,Low product adoption,Schedule CSM risk review and adoption plan,Avery Morgan
acct_023,Orchard Kitchen,Quick Service,Europe,SMB,Starter,active,1301.0,1301.0,25.0,3885,0,0,0,6500,4420.0,88.5,Healthy,Healthy usage and engagement,Continue regular success cadence,Taylor Kim
acct_049,Canyon Hospitality,Cafe,Latin America,SMB,Starter,active,1263.0,1263.0,10.5,2066,0,0,0,0,0.0,59.1,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Morgan Lee
acct_029,Ember Table,Cafe,Latin America,SMB,Starter,active,1223.0,1223.0,10.0,2271,0,0,0,0,0.0,58.6,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Avery Morgan
acct_088,Maple Restaurant Co,Quick Service,North America,SMB,Starter,active,1206.0,1206.0,18.5,3800,0,0,0,6000,2520.0,77.2,Watch,Healthy usage and engagement,Continue regular success cadence,Jordan Ellis
acct_003,Green Fork Kitchen,Fast Casual,Europe,SMB,Starter,active,1200.0,1200.0,12.5,1740,0,0,1,12000,4200.0,40.6,At Risk,Payment failure,Schedule CSM risk review and adoption plan,Riley Patel
acct_068,Amber Dining Collective,Quick Service,North America,SMB,Starter,paused,1166.0,1166.0,18.0,2805,0,0,0,6000,2520.0,76.7,Watch,Healthy usage and engagement,Continue regular success cadence,Casey Nguyen
acct_094,Clover Food Hall,Cafe,Asia Pacific,SMB,Starter,active,1128.0,1128.0,25.5,4286,0,0,0,5500,3740.0000000000005,88.7,Healthy,Healthy usage and engagement,Continue regular success cadence,Drew Martinez
acct_048,Bluebird Hospitality,Quick Service,North America,SMB,Starter,active,1126.0,1126.0,17.5,3010,0,0,0,5500,2310.0,76.7,Watch,Healthy usage and engagement,Continue regular success cadence,Jordan Ellis
acct_074,Foundry Dining Collective,Cafe,Asia Pacific,SMB,Starter,active,1088.0,1088.0,25.0,4491,0,0,0,5500,3740.0000000000005,88.3,Healthy,Healthy usage and engagement,Continue regular success cadence,Riley Patel
acct_028,Clover Table,Quick Service,North America,SMB,Starter,active,1086.0,1086.0,18.5,3440,0,0,0,5500,2310.0,77.3,Watch,Healthy usage and engagement,Continue regular success cadence,Casey Nguyen
acct_054,Juniper Hospitality,Cafe,Asia Pacific,SMB,Starter,active,1048.0,1048.0,24.5,4696,0,0,0,5000,3400.0000000000005,87.9,Healthy,Healthy usage and engagement,Continue regular success cadence,Drew Martinez
acct_034,Orchard Table,Cafe,Asia Pacific,SMB,Starter,active,1008.0,1008.0,25.5,3926,0,0,0,5000,3400.0000000000005,88.9,Healthy,Healthy usage and engagement,Continue regular success cadence,Riley Patel
acct_010,Luna Bakery Collective,Cafe,Europe,SMB,Starter,trial,1000.0,1000.0,11.0,1360,0,0,1,0,0.0,40.8,At Risk,Payment failure,Schedule CSM risk review and adoption plan,Riley Patel
acct_093,Canyon Food Hall,Quick Service,Latin America,SMB,Starter,active,991.0,991.0,24.5,4030,0,0,0,5000,3400.0000000000005,87.8,Healthy,Healthy usage and engagement,Continue regular success cadence,Avery Morgan
acct_014,Atlas Kitchen,Cafe,Asia Pacific,SMB,Starter,active,968.0,968.0,25.0,4131,0,0,0,5000,3400.0000000000005,88.5,Healthy,Healthy usage and engagement,Continue regular success cadence,Drew Martinez
acct_073,Ember Dining Collective,Quick Service,Latin America,SMB,Starter,active,951.0,951.0,25.5,4460,0,0,0,5000,3400.0000000000005,88.8,Healthy,Healthy usage and engagement,Continue regular success cadence,Morgan Lee
acct_099,Maple Food Hall,Cafe,Europe,SMB,Starter,active,913.0,913.0,9.5,2416,0,0,0,0,0.0,58.4,At Risk,Low product adoption,Schedule CSM risk review and adoption plan,Samira Khan
acct_053,Golden Hospitality,Quick Service,Latin America,SMB,Starter,active,911.0,911.0,25.0,4665,0,0,0,4500,3060.0,88.4,Healthy,Healthy usage and engagement,Continue regular success cadence,Avery Morgan
acct_005,Sunrise Taqueria,Quick Service,Latin America,SMB,Starter,active,900.0,900.0,17.0,2820,0,0,0,6400,2688.0,69.4,Watch,Healthy usage and engagement,Continue regular success cadence,Casey Nguyen
acct_079,Amber Restaurant Co,Cafe,Europe,SMB,Starter,active,873.0,873.0,10.5,2246,0,0,0,0,0.0,59.0,At Risk,CSM risk note,Schedule CSM risk review and adoption plan,Taylor Kim
acct_033,Maple Table,Quick Service,Latin America,SMB,Starter,active,871.0,871.0,24.5,4270,0,0,0,4500,3060.0,88.0,Healthy,Healthy usage and engagement,Continue regular success cadence,Morgan Lee
acct_007,Olive Branch Cafe,Cafe,Europe,SMB,Starter,churned,0.0,1100.0,1.0,120,0,0,0,0,0.0,28.5,Critical,Low product adoption,Schedule CSM risk review and adoption plan,Riley Patel
acct_004,Copper Kettle BBQ,Casual Dining,North America,Mid-Market,Pro,churned,0.0,5100.0,2.5,340,0,0,0,0,0.0,30.1,Critical,Low product adoption,Schedule CSM risk review and adoption plan,Jordan Ellis
