touch_id,account_id,touch_type,touch_date,outcome,notes_category
touch_086,acct_055,training,2025-03-08,Workflow coaching scheduled,positive
touch_087,acct_056,risk_review,2025-03-16,Payment and adoption recovery plan,risk
touch_088,acct_057,qbr,2025-03-24,Expansion roadmap aligned,positive
touch_089,acct_057,check_in,2025-03-25,Adoption remains strong,positive
touch_090,acct_058,check_in,2025-04-02,Adoption plan reviewed,neutral
touch_091,acct_058,training,2025-04-03,Workflow coaching scheduled,positive
touch_092,acct_059,risk_review,2025-04-11,Adoption risk requires intervention,risk
touch_093,acct_060,qbr,2025-04-19,Expansion roadmap aligned,positive
touch_094,acct_060,check_in,2025-04-20,Adoption remains strong,positive
touch_095,acct_061,check_in,2025-03-01,Adoption plan reviewed,neutral
touch_096,acct_061,training,2025-03-02,Workflow coaching scheduled,positive
touch_097,acct_062,risk_review,2025-03-10,Adoption risk requires intervention,risk
touch_098,acct_063,qbr,2025-03-18,Expansion roadmap aligned,positive
touch_099,acct_063,check_in,2025-03-19,Adoption remains strong,positive
touch_100,acct_064,qbr,2025-03-27,Expansion roadmap aligned,positive
touch_101,acct_064,check_in,2025-03-28,Adoption remains strong,positive
touch_102,acct_065,check_in,2025-04-05,Adoption plan reviewed,neutral
touch_103,acct_065,training,2025-04-06,Workflow coaching scheduled,positive
touch_104,acct_066,risk_review,2025-04-14,Payment and adoption recovery plan,risk
touch_105,acct_067,qbr,2025-04-22,Expansion roadmap aligned,positive
touch_106,acct_067,check_in,2025-04-23,Adoption remains strong,positive
touch_107,acct_068,check_in,2025-03-04,Adoption plan reviewed,neutral
touch_108,acct_068,training,2025-03-05,Workflow coaching scheduled,positive
touch_109,acct_069,risk_review,2025-03-13,Adoption risk requires intervention,risk
touch_110,acct_070,qbr,2025-03-21,Expansion roadmap aligned,positive
touch_111,acct_070,check_in,2025-03-22,Adoption remains strong,positive
touch_112,acct_071,check_in,2025-03-30,Adoption plan reviewed,neutral
touch_113,acct_071,training,2025-03-31,Workflow coaching scheduled,positive
touch_114,acct_072,risk_review,2025-04-08,Adoption risk requires intervention,risk
touch_115,acct_073,qbr,2025-04-16,Expansion roadmap aligned,positive
touch_116,acct_073,check_in,2025-04-17,Adoption remains strong,positive
touch_117,acct_074,qbr,2025-04-25,Expansion roadmap aligned,positive
touch_118,acct_074,check_in,2025-04-26,Adoption remains strong,positive
touch_119,acct_075,check_in,2025-03-07,Adoption plan reviewed,neutral
touch_120,acct_075,training,2025-03-08,Workflow coaching scheduled,positive
touch_121,acct_076,risk_review,2025-03-16,Payment and adoption recovery plan,risk
touch_122,acct_077,qbr,2025-03-24,Expansion roadmap aligned,positive
touch_123,acct_077,check_in,2025-03-25,Adoption remains strong,positive
touch_124,acct_078,check_in,2025-04-02,Adoption plan reviewed,neutral
touch_125,acct_078,training,2025-04-03,Workflow coaching scheduled,positive
touch_126,acct_079,risk_review,2025-04-11,Adoption risk requires intervention,risk
touch_127,acct_080,qbr,2025-04-19,Expansion roadmap aligned,positive
touch_128,acct_080,check_in,2025-04-20,Adoption remains strong,positive
touch_129,acct_081,check_in,2025-03-01,Adoption plan reviewed,neutral
touch_130,acct_081,training,2025-03-02,Workflow coaching scheduled,positive
touch_131,acct_082,risk_review,2025-03-10,Adoption risk requires intervention,risk
touch_132,acct_083,qbr,2025-03-18,Expansion roadmap aligned,positive
touch_133,acct_083,check_in,2025-03-19,Adoption remains strong,positive
touch_134,acct_084,qbr,2025-03-27,Expansion roadmap aligned,positive
touch_135,acct_084,check_in,2025-03-28,Adoption remains strong,positive
touch_136,acct_085,check_in,2025-04-05,Adoption plan reviewed,neutral
touch_137,acct_085,training,2025-04-06,Workflow coaching scheduled,positive
touch_138,acct_086,risk_review,2025-04-14,Payment and adoption recovery plan,risk
touch_139,acct_087,qbr,2025-04-22,Expansion roadmap aligned,positive
touch_140,acct_087,check_in,2025-04-23,Adoption remains strong,positive
touch_141,acct_088,check_in,2025-03-04,Adoption plan reviewed,neutral
touch_142,acct_088,training,2025-03-05,Workflow coaching scheduled,positive
touch_143,acct_089,risk_review,2025-03-13,Adoption risk requires intervention,risk
touch_144,acct_090,qbr,2025-03-21,Expansion roadmap aligned,positive
touch_145,acct_090,check_in,2025-03-22,Adoption remains strong,positive
touch_146,acct_091,check_in,2025-03-30,Adoption plan reviewed,neutral
touch_147,acct_091,training,2025-03-31,Workflow coaching scheduled,positive
touch_148,acct_092,risk_review,2025-04-08,Adoption risk requires intervention,risk
touch_149,acct_093,qbr,2025-04-16,Expansion roadmap aligned,positive
touch_150,acct_093,check_in,2025-04-17,Adoption remains strong,positive
touch_151,acct_094,qbr,2025-04-25,Expansion roadmap aligned,positive
touch_152,acct_094,check_in,2025-04-26,Adoption remains strong,positive
touch_153,acct_095,check_in,2025-03-07,Adoption plan reviewed,neutral
touch_154,acct_095,training,2025-03-08,Workflow coaching scheduled,positive
touch_155,acct_096,risk_review,2025-03-16,Payment and adoption recovery plan,risk
touch_156,acct_097,qbr,2025-03-24,Expansion roadmap aligned,positive
touch_157,acct_097,check_in,2025-03-25,Adoption remains strong,positive
touch_158,acct_098,check_in,2025-04-02,Adoption plan reviewed,neutral
touch_159,acct_098,training,2025-04-03,Workflow coaching scheduled,positive
touch_160,acct_099,risk_review,2025-04-11,Adoption risk requires intervention,risk
touch_161,acct_100,qbr,2025-04-19,Expansion roadmap aligned,positive
touch_162,acct_100,check_in,2025-04-20,Adoption remains strong,positive
